date,user_id,wellbeing,meditated,sleep_time,did_sport,steps,sweets,walk,gratitude
2024-12-22,e0e084c5-2308-4080-b217-90d5875fa312,5,false,10.5,true,0,null,null,"Eingerollter Vusko, Luca Kuschelbedürfnis, Kindervideos gucken und tanzen"
2024-12-23,e0e084c5-2308-4080-b217-90d5875fa312,7,false,11,true,0,null,null,"50 push-ups, Selbstgespräche"
2024-12-27,e0e084c5-2308-4080-b217-90d5875fa312,7,true,8,true,69,true,false,"Jendriks Bioladen sehen: entspannte Atmosphäre, Luca 1000 Küsse"
2024-12-25,e0e084c5-2308-4080-b217-90d5875fa312,7,false,8,true,3,true,false,"Ruhe und Coden, Pygmalion"
2024-12-26,e0e084c5-2308-4080-b217-90d5875fa312,4,true,7,true,34,true,false,"So viele Verwandte, mit denen ich reden kann. Eltern, mit denen ich analysieren kann, was gerade bei mir abgeht"
2024-12-28,e0e084c5-2308-4080-b217-90d5875fa312,8,false,8,true,18,true,true,Luca's Freunde kennenlernen und sich gut mit denen verstehen
2024-12-29,e0e084c5-2308-4080-b217-90d5875fa312,6,true,8.5,true,33,true,false,"Mit Luca als Ente aufm Badezimmerboden hocken
Reges Raclette"
2024-12-30,e0e084c5-2308-4080-b217-90d5875fa312,4,false,7,true,49,true,true,"Schöner Spaziergang mit Luca, Familie wiedersehen"
2024-12-31,e0e084c5-2308-4080-b217-90d5875fa312,8,false,10.5,false,24,true,true,"Reflexionszeit - Chaos ordnen 
Silvester feiern mit Luca und coolen Leuten"
2025-01-01,e0e084c5-2308-4080-b217-90d5875fa312,4,true,6,true,24,true,false,"Bastelzeit, Tee mit Familie"
2025-01-02,e0e084c5-2308-4080-b217-90d5875fa312,5,true,7,true,46,true,false,"Baden mit Luca, Produktivitätsreflexion, warmes Haus, keine Haushaltsaufgaben, Sonnenstrahlen"
2025-01-03,e0e084c5-2308-4080-b217-90d5875fa312,7,true,9,true,38,true,false,"Oma eine Freude machen können: Ihr Strahlen und ihre Zufriedenheit 
Im Café sitzen, reden und die Stimmung genießen 
Luca die alten Dias zeigen 
Mit Luca Rulleke backen, schreien und tanzen
Mehr Fokus beim Lernen, reflektieren können"
2025-01-04,e0e084c5-2308-4080-b217-90d5875fa312,5,false,9,true,25,true,false,"Essen mit Familie, Speckendicken, Traditionen 
Eltern fahren uns nach Brücki 
Luca tröstet Heimweh, schönes Gespräch über Zeit, Familie, Altern"
2025-01-05,e0e084c5-2308-4080-b217-90d5875fa312,5,null,9,null,36,null,null,"Pistaziencreme, Luca umarmen, Heizung haben, Wohlfühlwohnung"
2025-01-06,e0e084c5-2308-4080-b217-90d5875fa312,4,false,7.5,true,44,true,false,"Schönes Tutorium, viele Fragen beantwortet 
Witziger Gast Coen, schön mit vielen Coxis Ice Skaten zu gehen
Luca, der mir beim Coden hilft"
2025-01-12,e0e084c5-2308-4080-b217-90d5875fa312,7,true,9.5,true,19,true,true,"Puzzle, Spaziergang und tiefe Unterhaltung mit Luca, Sonnenkalender zu Ende basteln, Essen bei Orchideen Bubble Tea, Exit Puzzle"
2025-01-07,e0e084c5-2308-4080-b217-90d5875fa312,5,false,8.5,true,46,true,true,"Staying home, Sonnenstrahlen, im assignment vorankommen, Suppe kochen, Luca umarmen"
2025-01-08,e0e084c5-2308-4080-b217-90d5875fa312,4,true,8.5,true,30,true,false,"Menschen zusammen bringen beim reFRESHMENt, Stats noch schaffen, Menschen, die mich unterstützen"
2025-01-09,e0e084c5-2308-4080-b217-90d5875fa312,6,false,8,true,23,true,false,"Luca Zeit verbringen, Zeit im Grüner Jäger, munter aufwachen, alle Vorhaben schaffen, ich kann noch durchkommen beim Kickboxen"
2025-01-10,e0e084c5-2308-4080-b217-90d5875fa312,7,true,7.5,null,36,null,null,"Entspannungszeit, Zeit mit Luca und Pisa"
2025-01-11,e0e084c5-2308-4080-b217-90d5875fa312,6,true,7.5,true,26,true,true,"Spaziergang mit Annika, Logic und Gespräch mit Luca, entspannt assignment coden"
2025-01-13,e0e084c5-2308-4080-b217-90d5875fa312,4,false,6,true,26,false,false,"Luca, Wohnung, Schlaf, Ohrenstöpsel, reden mit Hanna, gemeinsam kochen, gute Experimentdaten providen, stabile Beziehungen, Dankbarkeit mit Luca"
2025-01-14,e0e084c5-2308-4080-b217-90d5875fa312,6,true,9,true,24,true,false,"Spieleabend, rumalbern, in Deep Learning vertiefen, Studie Quiz, Café mit Luca"
2025-01-15,e0e084c5-2308-4080-b217-90d5875fa312,4,false,8,true,20,true,false,"Lesen, Musik, Luca bringt mir Stracciatella Joghurt mit"
2025-01-16,e0e084c5-2308-4080-b217-90d5875fa312,3,false,8.5,true,23,true,true,"Heimat, zuhause ankommen, Vusko, Familie, Kurs fällt aus und ich habe auf einmal Zeit, probe exam bauen zusammen mit Cara, Luca packt mein Buch ein, Erinnerung: Busfahrer fährt Extrarunde im Kreisel"
2025-01-17,e0e084c5-2308-4080-b217-90d5875fa312,5,false,9,true,22,true,false,"Vusco, Lesen, Sport machen, Familie und großes Haus haben"
2025-01-20,e0e084c5-2308-4080-b217-90d5875fa312,6,false,7.5,true,52,false,false,"Lesen, Luca weil er verständnisvoll ist und für mich da sein will, Soja Zudels, Papa der mich zum Bahnhof fährt"
2025-01-18,e0e084c5-2308-4080-b217-90d5875fa312,4,false,7.8,true,19,true,false,"Vusko, Lesen, Opa eine Freude machen, in Ruhe denken"
2025-01-19,e0e084c5-2308-4080-b217-90d5875fa312,6,false,9.8,true,33,true,true,"Anne auf Green Gables lesen, Text schreiben, Spaziergang mit Familie, lustige Telegramm Unterhaltung, vor dem Kamin sitzen und entspannen"
2025-01-21,e0e084c5-2308-4080-b217-90d5875fa312,8,true,8.4,true,17,true,true,"mehr Freizeit, fokussiertes Arbeiten, Energie zum Sport machen, Spaziergang in der Natur, matschige Hosen, Wind in den Bäumen, Anne Buch, Ausprobier Zeit mit Luca, lecker türkischer Kaffee, Eis kaputt machen"
2025-01-22,e0e084c5-2308-4080-b217-90d5875fa312,8,true,8.3,true,66,true,false,"Übernachten bei Cata, Regen an den Fenstern, Präsentation Improvisieren"
